domicilio_id;numero_residentes;banheiros;quartos;veiculos;bicicletas;motos;tipo_imovel;renda;condicao_moradia;agua_encanada;rua_pavimentada;vaga_propria_estacionamento;ano_veiculo_mais_recente;empregados_domesticos;tv_cabo;recebe_bolsa_familia;fexp_domicilio;macrozona;regiao_administrativa
108;4;3;4;2;0;0;Casa de Alvenaria;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;45,4922;315;Taguatinga
123;2;2;2;0;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Respondeu;NA;Sim, Diarista;Possui;Não;61,3557;332;Riacho Fundo II
124;2;1;2;1;0;1;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Não Possui;Não;61,3557;332;Riacho Fundo II
139;4;1;3;1;1;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Não;55,6016;352;Samambaia
140;3;1;2;0;2;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;54,3644;352;Samambaia
141;5;2;3;1;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Sim, Mensalista;Possui;Não;61,7667;352;Samambaia
142;3;2;2;2;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;Não Sabe;Não Possui;Não Possui;Não;54,3644;352;Samambaia
155;3;1;3;1;1;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;54,3644;352;Samambaia
200;2;1;2;0;1;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;53,8082;352;Samambaia
212;1;2;3;0;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;39,4843;353;Samambaia
213;2;3;4;1;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;Não Sabe;Não Possui;Não Possui;Não;42,0949;353;Samambaia
214;4;1;3;2;0;0;Casa de Alvenaria;De R$ 13.200,00 a R$ 17.600,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Não Possui;Não;68,0938;353;Samambaia
215;5;1;3;1;3;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Não Possui;Não;33,5606;353;Samambaia
216;1;1;3;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Sim, Diarista;Possui;Não;39,4843;353;Samambaia
217;4;1;3;2;1;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Não Possui;Não;68,0938;353;Samambaia
231;2;2;3;1;1;0;Apartamento;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Sim, Diarista;Não Possui;Não;46,3635;222;Guará
234;1;1;2;0;0;0;Apartamento;Não respondeu;Cedida;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;59,5675;222;Guará
242;2;2;2;1;0;0;Apartamento;De R$ 13.200,00 a R$ 17.600,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;46,3635;222;Guará
244;1;1;1;1;1;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;1995 a 1999;Não Possui;Não Possui;Não;54,3013;345;Ceilândia
245;3;1;3;1;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;1990 a 1994;Não Possui;Não Possui;Não;60,6315;345;Ceilândia
246;3;2;3;0;0;2;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;60,6315;345;Ceilândia
247;3;1;3;0;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;60,6315;345;Ceilândia
248;3;1;2;0;1;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;60,6315;345;Ceilândia
249;5;2;3;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Possui;Não;86,474;345;Ceilândia
250;4;1;3;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;55,1615;345;Ceilândia
251;2;1;2;1;1;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Não Possui;Não;46,181;345;Ceilândia
252;3;1;2;0;1;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;60,6315;345;Ceilândia
253;2;1;2;0;0;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;46,181;345;Ceilândia
275;3;1;2;2;0;0;Apartamento;De R$ 8.800,00 a R$ 13.200,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;41,3587;353;Samambaia
276;4;2;3;0;2;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;68,0938;353;Samambaia
277;5;1;3;2;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Não;33,5606;353;Samambaia
278;3;2;3;1;0;0;Casa de Alvenaria;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;41,3587;353;Samambaia
290;5;1;1;0;1;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Sim;86,474;345;Ceilândia
291;1;1;1;1;0;0;Casa de Alvenaria;Sem Renda;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;54,3013;345;Ceilândia
292;2;1;3;1;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Não;46,181;345;Ceilândia
293;1;1;1;0;0;1;Apartamento;De R$ 880,00 a R$ 1.760,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Não;54,3013;345;Ceilândia
294;3;3;3;1;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Não;60,6315;345;Ceilândia
295;3;1;1;0;1;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;60,6315;345;Ceilândia
296;4;2;3;2;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;55,1615;345;Ceilândia
297;2;2;3;1;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Sim, Diarista;Possui;Não;46,181;345;Ceilândia
298;2;1;3;0;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Não;46,181;345;Ceilândia
322;3;1;3;0;1;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, só na propriedade ou terreno;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;41,6111;353;Samambaia
347;5;5;4;2;2;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;1995 a 1999;Não Possui;Possui;Não;89,8704;331;Riacho Fundo I
348;2;2;3;2;1;1;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Sim;51,8749;331;Riacho Fundo I
357;5;2;3;1;3;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;43,3785;315;Taguatinga
358;2;3;4;0;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Não;36,9016;315;Taguatinga
379;4;3;3;0;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Possui;Não;55,6016;352;Samambaia
380;2;1;2;1;0;0;Apartamento;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;53,8082;352;Samambaia
381;7;4;6;2;4;0;Casa de Alvenaria;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Sim, Mensalista;Possui;Não;67,4155;352;Samambaia
382;1;1;2;1;0;0;Apartamento;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;48,5337;352;Samambaia
411;2;1;2;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;53,8082;352;Samambaia
412;2;1;2;0;0;0;Alvenaria Inacabada;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Possui;Não;53,8082;352;Samambaia
413;3;1;1;0;0;0;Alvenaria Inacabada;Não respondeu;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Possui;Não;54,3644;352;Samambaia
415;1;1;2;1;0;0;Apartamento;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;48,5337;352;Samambaia
432;6;2;3;0;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Sim;79,7837;332;Riacho Fundo II
433;3;2;2;1;1;1;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Não Possui;Não;73,7802;332;Riacho Fundo II
490;3;1;2;1;2;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Não Possui;Não;73,7802;332;Riacho Fundo II
546;4;2;3;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;1995 a 1999;Não Possui;Possui;Não;55,1615;345;Ceilândia
547;2;1;1;0;3;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;46,181;345;Ceilândia
548;1;2;3;0;0;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Sim, Mensalista;Possui;Não;54,3013;345;Ceilândia
549;2;1;2;2;1;1;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Não Possui;Não;46,181;345;Ceilândia
550;3;1;2;0;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;60,6315;345;Ceilândia
551;1;2;1;0;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;54,3013;345;Ceilândia
552;5;2;3;2;0;0;Casa de Alvenaria;Não respondeu;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;86,474;345;Ceilândia
567;1;1;1;0;1;1;Apartamento;De R$ 440,00 a R$ 880,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;48,5337;352;Samambaia
568;2;1;1;1;0;2;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;1995 a 1999;Não Possui;Não Possui;Não;53,8082;352;Samambaia
574;3;1;2;1;1;0;Apartamento;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;37,2258;315;Taguatinga
575;2;2;4;1;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Sim, Mensalista;Possui;Não;35,2208;315;Taguatinga
577;2;2;3;2;2;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Sim, Diarista;Possui;Não;35,2208;315;Taguatinga
578;4;1;2;1;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;45,4922;315;Taguatinga
579;2;1;2;0;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Possui;Não;35,2208;315;Taguatinga
580;10;3;5;3;2;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;2010 a 2013;Não Possui;Possui;Não;48,7282;315;Taguatinga
581;3;3;2;2;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Possui;Não;37,2258;315;Taguatinga
610;4;2;3;1;2;0;Casa de Alvenaria;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;55,6016;352;Samambaia
611;4;2;3;2;2;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Possui;Não;55,6016;352;Samambaia
612;4;1;1;0;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;55,6016;352;Samambaia
613;3;2;3;1;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;Não Sabe;Não Possui;Possui;Não;54,3644;352;Samambaia
614;5;2;2;1;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Não Possui;Não;61,7667;352;Samambaia
615;3;1;1;0;1;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;54,3644;352;Samambaia
616;5;1;3;3;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Não;61,7667;352;Samambaia
617;4;1;3;2;0;0;Casa de Alvenaria;Não respondeu;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;55,6016;352;Samambaia
652;3;2;3;0;1;0;Casa de Alvenaria;Sem Renda;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;37,1846;315;Taguatinga
653;3;2;5;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;37,1846;315;Taguatinga
654;1;1;1;1;0;0;Apartamento;De R$ 1.760,00 a R$ 2.640,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;44,2198;315;Taguatinga
655;3;1;2;1;1;0;Apartamento;De R$ 8.800,00 a R$ 13.200,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;37,1846;315;Taguatinga
656;4;5;3;2;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;33,78;315;Taguatinga
657;2;2;3;0;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;36,9016;315;Taguatinga
658;4;2;3;2;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;Não Sabe;Não Possui;Não Possui;Não;33,78;315;Taguatinga
661;1;1;1;0;1;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Não;44,2198;315;Taguatinga
663;3;4;5;1;4;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;37,1846;315;Taguatinga
686;3;2;3;3;1;0;Apartamento;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;68,3503;222;Guará
714;3;2;4;2;1;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Terra, cascalho;Possui;2000 a 2004;Não Possui;Possui;Não;41,3587;353;Samambaia
715;5;3;3;1;1;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, só na propriedade ou terreno;Terra, cascalho;Possui;2010 a 2013;Não Possui;Possui;Não;33,5606;353;Samambaia
